rep,reallocation,n_completed,n_withdrawn,n_active_at_end,X_total,total_mw,first_wd_month
377,False,0,6,0,512492971.1988545,1029.0800000000002,0
378,False,0,6,0,20578445.75165643,284.5,1
379,False,0,6,0,116492985.38131568,646.9,0
380,False,2,4,0,206690272.5275091,1424.7,0
381,False,2,4,0,282530024.52523464,1058.0,0
382,False,1,5,0,65568547.06512223,756.5,0
383,False,0,6,0,64275081.40492491,258.05,0
384,False,3,3,0,154721008.13315967,739.495,0
385,False,1,5,0,54086152.006541215,375.0,0
386,False,3,3,0,305353751.8975871,1176.2,0
387,False,0,6,0,95327700.30909401,709.2,0
388,False,4,2,0,98874868.27781509,297.85,0
389,False,1,5,0,840457192.7394859,1998.0,0
390,False,6,0,0,40870687.13090274,241.5,-1
